Device/Controller,Button,Bind,Condition
L Joystick,1,Tank Drive Straight,
L Joystick,2,,
L Joystick,3,,
L Joystick,4,,
L Joystick,5,,
L Joystick,6,,
L Joystick,7,Arm zero,
L Joystick,8,Shooter Cleaning,
L Joystick,9,Turret zero,
L Joystick,10,,
L Joystick,11,,
L Joystick,12,,
L Joystick,X,,
L Joystick,Y,Control,L Tankdrive
L Joystick,Z,,
L Joystick,Slider,,
L Joystick,POV,,
R Joystick,1,Camera with turret,
R Joystick,2,Shooter,
R Joystick,3,Ball Pickup Down,
R Joystick,4,,
R Joystick,5,,
R Joystick,6,,
R Joystick,7,Manual Limelight Driver,
R Joystick,8,Manual Limelight Target,
R Joystick,9,,
R Joystick,10,,
R Joystick,11,,
R Joystick,12,,
R Joystick,X,,
R Joystick,Y,Control,R Tankdrive
R Joystick,Z,,
R Joystick,Slider,,
R Joystick,POV,,
Xbox,A 1,,
Xbox,B 2,Arm mid,
Xbox,X 3,,
Xbox,Y 4,Arm in,
Xbox,LB 5,Pickup Out,
Xbox,RB 6,,
Xbox,Select 7,,
Xbox,Start 9,,
Xbox,L Stick 10,Arm Linear,
Xbox,R Stick 11,Manual Turret,
Xbox,L X,,
Xbox,L Y,Control,Arm Linear
Xbox,LT,Pickup In,
Xbox,RT,,
Xbox,R X,Control,Manual Turret
Xbox,R Y,Feed In/Out,
Xbox,POV,Turret Forwards/Backwards,
